partitions	stage	size	time
100	layer1	2.5M	17.3662
100	layer2	2.5M	35.3704
100	overlay	2.5M	52.8466
250	layer1	2.5M	7.146
250	layer2	2.5M	8.950800000000001
250	overlay	2.5M	23.4736
500	layer1	2.5M	5.1152
500	layer2	2.5M	5.1124
500	overlay	2.5M	12.6192
750	layer1	2.5M	4.8572
750	layer2	2.5M	4.719
750	overlay	2.5M	11.7738
1000	layer1	2.5M	4.898
1000	layer2	2.5M	5.1902
1000	overlay	2.5M	10.1246
2000	layer1	2.5M	8.1556
2000	layer2	2.5M	8.8328
2000	overlay	2.5M	9.256
3000	layer1	2.5M	14.6144
3000	layer2	2.5M	16.770599999999998
3000	overlay	2.5M	10.5008
4000	layer1	2.5M	31.718
4000	layer2	2.5M	36.8892
4000	overlay	2.5M	14.9628
5000	layer1	2.5M	53.0544
5000	layer2	2.5M	64.6268
5000	overlay	2.5M	19.7214
