partitions	stage	size	time
1K	layer1	MainUS	40.0264
1K	layer2	MainUS	37.422000000000004
1K	overlay	MainUS	178.393
2K	layer1	MainUS	36.1912
2K	layer2	MainUS	31.4988
2K	overlay	MainUS	147.71620000000001
3K	layer1	MainUS	32.0354
3K	layer2	MainUS	29.5068
3K	overlay	MainUS	131.3272
4K	layer1	MainUS	32.1976
4K	layer2	MainUS	29.6132
4K	overlay	MainUS	120.1062
5K	layer1	MainUS	32.721599999999995
5K	layer2	MainUS	30.6712
5K	overlay	MainUS	115.5544
6K	layer1	MainUS	36.587399999999995
6K	layer2	MainUS	33.3454
6K	overlay	MainUS	113.71719999999999
7K	layer1	MainUS	39.3178
7K	layer2	MainUS	36.6142
7K	overlay	MainUS	109.2212
8K	layer1	MainUS	43.9486
8K	layer2	MainUS	41.6502
8K	overlay	MainUS	114.8242
9K	layer1	MainUS	51.333
9K	layer2	MainUS	48.8548
9K	overlay	MainUS	123.87780000000001
10K	layer1	MainUS	56.9222
10K	layer2	MainUS	54.8692
10K	overlay	MainUS	118.8853
11K	layer1	MainUS	68.6656
11K	layer2	MainUS	64.80080000000001
11K	overlay	MainUS	130.67
12K	layer1	MainUS	81.4366
12K	layer2	MainUS	78.5712
12K	overlay	MainUS	147.8946
13K	layer1	MainUS	93.9516
13K	layer2	MainUS	91.59400000000001
13K	overlay	MainUS	155.2524
14K	layer1	MainUS	109.1156
14K	layer2	MainUS	104.5162
14K	overlay	MainUS	169.927
15K	layer1	MainUS	126.64659999999999
15K	layer2	MainUS	123.2838
15K	overlay	MainUS	186.41479999999999
