partitions	stage	size	time
2000	layer1	gadm	202.963
2000	layer2	gadm	375.2442
2000	overlay	gadm	1138.338
4000	layer1	gadm	134.5234
4000	layer2	gadm	335.0284
4000	overlay	gadm	758.4792
6000	layer1	gadm	121.5358
6000	layer2	gadm	172.6866
6000	overlay	gadm	521.2924
8000	layer1	gadm	124.383
8000	layer2	gadm	149.5308
8000	overlay	gadm	455.6644
10000	layer1	gadm	145.268
10000	layer2	gadm	182.1614
10000	overlay	gadm	436.2916
12000	layer1	gadm	181.8886
12000	layer2	gadm	238.465
12000	overlay	gadm	441.991
14000	layer1	gadm	217.6376
14000	layer2	gadm	281.407
14000	overlay	gadm	414.7164
16000	layer1	gadm	266.0836
16000	layer2	gadm	362.08
16000	overlay	gadm	438.192
18000	layer1	gadm	315.977
18000	layer2	gadm	430.50600000000003
18000	overlay	gadm	431.9878
20000	layer1	gadm	399.7086
20000	layer2	gadm	554.171
20000	overlay	gadm	483.067
