geoid	n_total_pop	n_white_under_15	p_white_under_15
42101000100	3183.0	16.0	0.5026704366949418
42101000200	2009.0	0.0	0.0
42101000300	3509.0	143.0	4.075235109717868
42101000401	2287.0	20.0	0.874508089199825
42101000402	3021.0	19.0	0.628930817610063
42101000500	2194.0	13.0	0.5925250683682771
42101000600	1565.0	5.0	0.3194888178913738
42101000700	2650.0	0.0	0.0
42101000801	1713.0	49.0	2.860478692352598
42101000803	3680.0	134.0	3.641304347826087
42101000804	3224.0	35.0	1.08560794044665
42101000901	1910.0	0.0	0.0
42101000902	2367.0	86.0	3.633291085762569
42101001001	2392.0	220.0	9.197324414715718
42101001002	3311.0	283.0	8.54726668680157
42101001101	3123.0	59.0	1.8892090938200448
42101001102	2483.0	129.0	5.195328231977447
42101001201	3636.0	220.0	6.050605060506051
42101001202	5050.0	175.0	3.4653465346534658
42101001300	5413.0	423.0	7.8145205985590245
42101001400	4400.0	218.0	4.954545454545454
42101001500	2741.0	117.0	4.268515140459686
42101001600	2025.0	193.0	9.530864197530864
42101001700	2949.0	257.0	8.714818582570363
42101001800	2797.0	126.0	4.504826599928495
42101001900	2752.0	89.0	3.234011627906977
42101002000	1778.0	0.0	0.0
42101002100	1809.0	0.0	0.0
42101002200	1992.0	0.0	0.0
42101002300	2464.0	39.0	1.5827922077922076
42101002400	4197.0	314.0	7.4815344293543005
42101002500	3568.0	217.0	6.081838565022422
42101002701	3815.0	61.0	1.598951507208388
42101002702	3337.0	354.0	10.608330836080311
42101002801	3937.0	122.0	3.0988061976123955
42101002802	4760.0	601.0	12.626050420168067
42101002900	4081.0	269.0	6.591521685861308
42101003001	4153.0	60.0	1.4447387430772936
42101003002	3224.0	120.0	3.722084367245657
42101003100	3627.0	0.0	0.0
42101003200	4620.0	117.0	2.5324675324675328
42101003300	6209.0	265.0	4.2679980673216305
42101003600	7738.0	53.0	0.684931506849315
42101003701	6683.0	0.0	0.0
42101003702	3248.0	95.0	2.92487684729064
42101003800	3668.0	576.0	15.703380588876772
42101003901	6857.0	490.0	7.145982207962666
42101003902	6233.0	726.0	11.647681694208247
42101004001	4029.0	251.0	6.229833705634152
42101004002	4377.0	508.0	11.606122915238748
42101004101	5670.0	187.0	3.2980599647266318
42101004102	8105.0	298.0	3.6767427513880317
42101004201	5929.0	572.0	9.647495361781075
42101004202	5106.0	584.0	11.437524481002741
42101005000	0.0	0.0	
42101005400	1089.0	11.0	1.0101010101010102
42101005500	6508.0	0.0	0.0
42101005600	1348.0	0.0	0.0
42101006000	5820.0	20.0	0.3436426116838488
42101006100	3609.0	116.0	3.214186755333887
42101006200	4693.0	153.0	3.2601747283187725
42101006300	3823.0	12.0	0.31388961548522104
42101006400	4340.0	73.0	1.6820276497695852
42101006500	4735.0	0.0	0.0
42101006600	3783.0	16.0	0.42294475284166005
42101006700	6702.0	215.0	3.2079976126529393
42101006900	2760.0	37.0	1.3405797101449275
42101007000	4910.0	0.0	0.0
42101007101	2953.0	0.0	0.0
42101007102	4834.0	0.0	0.0
42101007200	4472.0	11.0	0.24597495527728086
42101007300	3089.0	0.0	0.0
42101007400	4173.0	0.0	0.0
42101007700	2376.0	18.0	0.7575757575757576
42101007800	3936.0	248.0	6.300813008130081
42101007900	4737.0	322.0	6.7975511927380206
42101008000	3519.0	13.0	0.36942313157146917
42101008101	2296.0	0.0	0.0
42101008102	5124.0	0.0	0.0
42101008200	8382.0	0.0	0.0
42101008301	4362.0	38.0	0.871160018340211
42101008302	4257.0	0.0	0.0
42101008400	5157.0	0.0	0.0
42101008500	6731.0	0.0	0.0
42101008601	2930.0	95.0	3.242320819112628
42101008602	3171.0	12.0	0.3784295175023652
