coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	5	1620720644340	1620720645770	1430
1	mr-01	41	1620720644347	1620720645119	772
2	mr-01	89	1620720644356	1620720645179	823
3	mr-01	111	1620720644815	1620720645503	688
4	mr-01	112	1620720644816	1620720645493	677
5	mr-01	114	1620720644817	1620720645471	654
1	mr-01	173	1620720645255	1620720645815	560
2	mr-01	180	1620720645326	1620720645825	499
5	mr-01	205	1620720645471	1620720645992	521
3	mr-01	253	1620720645677	1620720646261	584
4	mr-01	261	1620720645718	1620720646749	1031
6	mr-01	272	1620720645769	1620720646821	1052
0	mr-01	285	1620720645815	1620720647168	1353
1	mr-01	324	1620720646029	1620720647327	1298
2	mr-01	334	1620720646058	1620720646557	499
3	mr-01	375	1620720646261	1620720647122	861
5	mr-01	376	1620720646262	1620720647326	1064
2	mr-01	468	1620720646749	1620720647273	524
4	mr-01	472	1620720646779	1620720647259	480
6	mr-01	478	1620720646821	1620720647286	465
0	mr-01	554	1620720647284	1620720647846	562
1	mr-01	638	1620720647640	1620720648119	479
2	mr-01	670	1620720647793	1620720648263	470
3	mr-01	675	1620720647825	1620720648381	556
0	mr-01	763	1620720648252	1620720648732	480
1	mr-01	827	1620720648474	1620720649020	546
2	mr-01	874	1620720648655	1620720649365	710
0	mr-01	890	1620720648732	1620720649278	546
0	mr-01	1062	1620720649435	1620720650199	764
1	mr-01	1077	1620720649474	1620720649930	456
2	mr-01	1084	1620720649502	1620720650005	503
3	mr-01	1089	1620720649518	1620720650270	752
1	mr-01	1208	1620720649977	1620720650726	749
2	mr-01	1258	1620720650176	1620720650674	498
0	mr-01	1331	1620720650443	1620720651031	588
3	mr-01	1385	1620720650647	1620720651132	485
1	mr-01	1441	1620720650866	1620720651351	485
2	mr-01	1451	1620720650903	1620720651534	631
4	mr-01	1475	1620720650975	1620720651596	621
0	mr-01	1564	1620720651294	1620720651962	668
1	mr-01	1615	1620720651488	1620720652309	821
2	mr-01	1675	1620720651663	1620720652144	481
3	mr-01	1702	1620720651778	1620720652323	545
4	mr-01	1722	1620720651876	1620720652630	754
0	mr-01	1814	1620720652224	1620720652828	604
1	mr-01	1834	1620720652323	1620720652955	632
2	mr-01	1849	1620720652370	1620720652835	465
3	mr-01	1900	1620720652562	1620720653080	518
4	mr-01	1957	1620720652787	1620720653247	460
0	mr-01	2036	1620720653079	1620720653539	460
1	mr-01	2054	1620720653143	1620720653595	452
2	mr-01	2087	1620720653247	1620720654301	1054
3	mr-01	2128	1620720653420	1620720654202	782
4	mr-01	2157	1620720653532	1620720654315	783
0	mr-01	2298	1620720654018	1620720654539	521
1	mr-01	2307	1620720654053	1620720654510	457
5	mr-01	2323	1620720654102	1620720654574	472
0	mr-01	2459	1620720654573	1620720655314	741
1	mr-01	2477	1620720654634	1620720655532	898
2	mr-01	2517	1620720654757	1620720655432	675
3	mr-01	2529	1620720654790	1620720655546	756
4	mr-01	2601	1620720655076	1620720655543	467
5	mr-01	2626	1620720655192	1620720655702	510
6	mr-01	2651	1620720655299	1620720655803	504
0	mr-01	2657	1620720655319	1620720655827	508
1	mr-01	2724	1620720655545	1620720656028	483
0	mr-01	2856	1620720656028	1620720656615	587
1	mr-01	2902	1620720656144	1620720656749	605
2	mr-01	2919	1620720656192	1620720656882	690
3	mr-01	2973	1620720656372	1620720657037	665
0	mr-01	3033	1620720656620	1620720657070	450
1	mr-01	3073	1620720656777	1620720657228	451
2	mr-01	3101	1620720656883	1620720657361	478
4	mr-01	3124	1620720656957	1620720657420	463
5	mr-01	3132	1620720657003	1620720657778	775
0	mr-01	3198	1620720657228	1620720657749	521
1	mr-01	3214	1620720657275	1620720657730	455
2	mr-01	3246	1620720657420	1620720658333	913
0	mr-01	3332	1620720657778	1620720658256	478
1	mr-01	3374	1620720657947	1620720658408	461
3	mr-01	3390	1620720657992	1620720658476	484
4	mr-01	3423	1620720658094	1620720658867	773
0	mr-01	3546	1620720658556	1620720659119	563
1	mr-01	3587	1620720658724	1620720659237	513
2	mr-01	3615	1620720658835	1620720659346	511
3	mr-01	3627	1620720658866	1620720659403	537
4	mr-01	3634	1620720658879	1620720659431	552
0	mr-01	3690	1620720659119	1620720659667	548
5	mr-01	3697	1620720659139	1620720659678	539
1	mr-01	3763	1620720659403	1620720659910	507
2	mr-01	3769	1620720659416	1620720660206	790
3	mr-01	3780	1620720659431	1620720660163	732
0	mr-01	3984	1620720660170	1620720660681	511
1	mr-01	3988	1620720660185	1620720661001	816
2	mr-01	3994	1620720660206	1620720660718	512
3	mr-01	4031	1620720660343	1620720660844	501
4	mr-01	4052	1620720660404	1620720660877	473
5	mr-01	4064	1620720660442	1620720661142	700
0	mr-01	4232	1620720661076	1620720661861	785
1	mr-01	4242	1620720661104	1620720661999	895
2	mr-01	4249	1620720661130	1620720661879	749
0	mr-01	4495	1620720661978	1620720662577	599
1	mr-01	4502	1620720661999	1620720662677	678
0	mr-01	4685	1620720662666	1620720663160	494
1	mr-01	4721	1620720662772	1620720663497	725
2	mr-01	4783	1620720662983	1620720663556	573
3	mr-01	4812	1620720663088	1620720664061	973
4	mr-01	4836	1620720663159	1620720663806	647
0	mr-01	4890	1620720663406	1620720663988	582
5	mr-01	4891	1620720663407	1620720663884	477
1	mr-01	4926	1620720663536	1620720664102	566
2	mr-01	4932	1620720663556	1620720664121	565
4	mr-01	5014	1620720663884	1620720664536	652
0	mr-01	5116	1620720664271	1620720664851	580
1	mr-01	5153	1620720664408	1620720665274	866
2	mr-01	5183	1620720664485	1620720665005	520
3	mr-01	5229	1620720664657	1620720665150	493
0	mr-01	5339	1620720665005	1620720666319	1314
2	mr-01	5390	1620720665183	1620720666147	964
3	mr-01	5400	1620720665216	1620720666273	1057
4	mr-01	5416	1620720665255	1620720666131	876
5	mr-01	5420	1620720665273	1620720666157	884
1	mr-01	5423	1620720665291	1620720666366	1075
0	mr-01	5703	1620720666374	1620720667043	669
1	mr-01	5752	1620720666541	1620720667118	577
2	mr-01	5771	1620720666601	1620720667104	503
3	mr-01	5832	1620720666799	1620720667281	482
0	mr-01	5980	1620720667281	1620720667870	589
1	mr-01	6084	1620720667631	1620720668085	454
2	mr-01	6112	1620720667731	1620720668374	643
3	mr-01	6142	1620720667823	1620720668280	457
0	mr-01	6223	1620720668085	1620720668799	714
1	mr-01	6263	1620720668233	1620720668879	646
3	mr-01	6293	1620720668314	1620720668930	616
2	mr-01	6309	1620720668374	1620720669385	1011
4	mr-01	6321	1620720668416	1620720668872	456
0	mr-01	6491	1620720669012	1620720669466	454
1	mr-01	6609	1620720669374	1620720669845	471
0	mr-01	6676	1620720669600	1620720670083	483
2	mr-01	6709	1620720669733	1620720670331	598
3	mr-01	6716	1620720669766	1620720670460	694
0	mr-01	6843	1620720670230	1620720670785	555
1	mr-01	6933	1620720670537	1620720671055	518
2	mr-01	6940	1620720670562	1620720671023	461
0	mr-01	7074	1620720671084	1620720671605	521
1	mr-01	7081	1620720671102	1620720671627	525
2	mr-01	7084	1620720671112	1620720671641	529
0	mr-01	7237	1620720671626	1620720672094	468
1	mr-01	7307	1620720671900	1620720672432	532
0	mr-01	7439	1620720672332	1620720672906	574
2	mr-01	7463	1620720672380	1620720672970	590
1	mr-01	7598	1620720672905	1620720673425	520
0	mr-01	7632	1620720673029	1620720673544	515
1	mr-01	7769	1620720673504	1620720674123	619
2	mr-01	7779	1620720673524	1620720674179	655
0	mr-01	7796	1620720673591	1620720674296	705
3	mr-01	7939	1620720674085	1620720674580	495
1	mr-01	7960	1620720674159	1620720674681	522
0	mr-01	8031	1620720674390	1620720674855	465
2	mr-01	8084	1620720674579	1620720675116	537
1	mr-01	8115	1620720674681	1620720675188	507
3	mr-01	8167	1620720674851	1620720675325	474
0	mr-01	8246	1620720675140	1620720675946	806
1	mr-01	8346	1620720675458	1620720676473	1015
2	mr-01	8352	1620720675471	1620720675943	472
3	mr-01	8388	1620720675620	1620720676105	485
4	mr-01	8406	1620720675664	1620720676227	563
5	mr-01	8457	1620720675878	1620720676427	549
0	mr-01	8556	1620720676227	1620720676848	621
2	mr-01	8579	1620720676267	1620720676938	671
3	mr-01	8616	1620720676427	1620720677160	733
1	mr-01	8657	1620720676567	1620720677029	462
0	mr-01	8736	1620720676857	1620720677369	512
4	mr-01	8748	1620720676907	1620720677489	582
1	mr-01	8829	1620720677167	1620720677953	786
2	mr-01	8840	1620720677250	1620720677866	616
0	mr-01	8909	1620720677475	1620720678199	724
2	mr-01	9014	1620720677866	1620720678364	498
0	mr-01	9202	1620720678482	1620720679246	764
1	mr-01	9218	1620720678535	1620720679004	469
2	mr-01	9281	1620720678727	1620720679262	535
3	mr-01	9357	1620720678988	1620720679734	746
1	mr-01	9364	1620720679004	1620720680192	1188
4	mr-01	9416	1620720679171	1620720679664	493
0	mr-01	9447	1620720679262	1620720679790	528
2	mr-01	9581	1620720679713	1620720680279	566
