metric	mean	max	appId	stageId
Duration	0.1 s	4 s	application_1615435002078_0601	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0601	10
Task Deserialization Time	0.2 s	0.6 s	application_1615435002078_0601	10
GC Time	0 ms	0.4 s	application_1615435002078_0601	10
Result Serialization Time	0 ms	40 ms	application_1615435002078_0601	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0601	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0601	10
Input Size / Records	312.8 KB / 1808	1620.6 KB / 7390	application_1615435002078_0601	10
Duration	0.2 s	8 s	application_1615435002078_0602	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0602	10
Task Deserialization Time	0.1 s	3 s	application_1615435002078_0602	10
GC Time	0 ms	3 s	application_1615435002078_0602	10
Result Serialization Time	0 ms	0.2 s	application_1615435002078_0602	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0602	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0602	10
Input Size / Records	463.0 KB / 2630	2.3 MB / 10146	application_1615435002078_0602	10
Duration	0.3 s	11 s	application_1615435002078_0603	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0603	10
Task Deserialization Time	84 ms	2 s	application_1615435002078_0603	10
GC Time	0 ms	2 s	application_1615435002078_0603	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0603	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0603	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0603	10
Input Size / Records	620.2 KB / 3442	3.0 MB / 13136	application_1615435002078_0603	10
Duration	0.5 s	13 s	application_1615435002078_0604	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0604	10
Task Deserialization Time	67 ms	2 s	application_1615435002078_0604	10
GC Time	37 ms	3 s	application_1615435002078_0604	10
Result Serialization Time	0 ms	11 ms	application_1615435002078_0604	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0604	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0604	10
Input Size / Records	774.8 KB / 4256	3.7 MB / 16390	application_1615435002078_0604	10
Duration	0.7 s	18 s	application_1615435002078_0605	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0605	10
Task Deserialization Time	56 ms	2 s	application_1615435002078_0605	10
GC Time	43 ms	3 s	application_1615435002078_0605	10
Result Serialization Time	0 ms	18 ms	application_1615435002078_0605	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0605	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0605	10
Input Size / Records	924.3 KB / 5106	4.4 MB / 19184	application_1615435002078_0605	10
Duration	0.8 s	22 s	application_1615435002078_0606	10
Scheduler Delay	4 ms	95 ms	application_1615435002078_0606	10
Task Deserialization Time	48 ms	2 s	application_1615435002078_0606	10
GC Time	49 ms	2 s	application_1615435002078_0606	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0606	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0606	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0606	10
Input Size / Records	1074.3 KB / 5966	5.1 MB / 23014	application_1615435002078_0606	10
Duration	1.0 s	26 s	application_1615435002078_0607	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0607	10
Task Deserialization Time	42 ms	1 s	application_1615435002078_0607	10
GC Time	61 ms	4 s	application_1615435002078_0607	10
Result Serialization Time	0 ms	99 ms	application_1615435002078_0607	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0607	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0607	10
Input Size / Records	1259.8 KB / 7002	5.8 MB / 25836	application_1615435002078_0607	10
Duration	1 s	37 s	application_1615435002078_0608	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0608	10
Task Deserialization Time	38 ms	2 s	application_1615435002078_0608	10
GC Time	65 ms	3 s	application_1615435002078_0608	10
Result Serialization Time	0 ms	2 ms	application_1615435002078_0608	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0608	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0608	10
Input Size / Records	1398.5 KB / 7754	6.4 MB / 28771	application_1615435002078_0608	10
Duration	1 s	45 s	application_1615435002078_0609	10
Scheduler Delay	4 ms	0.1 s	application_1615435002078_0609	10
Task Deserialization Time	34 ms	2 s	application_1615435002078_0609	10
GC Time	72 ms	3 s	application_1615435002078_0609	10
Result Serialization Time	0 ms	3 ms	application_1615435002078_0609	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0609	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0609	10
Input Size / Records	1559.7 KB / 8688	7.4 MB / 32534	application_1615435002078_0609	10
Duration	2 s	42 s	application_1615435002078_0610	10
Scheduler Delay	4 ms	2 s	application_1615435002078_0610	10
Task Deserialization Time	31 ms	2 s	application_1615435002078_0610	10
GC Time	91 ms	5 s	application_1615435002078_0610	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0610	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0610	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0610	10
Input Size / Records	1709.6 KB / 9518	8.2 MB / 36072	application_1615435002078_0610	10
Duration	2 s	52 s	application_1615435002078_0611	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0611	10
Task Deserialization Time	29 ms	1 s	application_1615435002078_0611	10
GC Time	0.1 s	7 s	application_1615435002078_0611	10
Result Serialization Time	0 ms	16 ms	application_1615435002078_0611	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0611	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0611	10
Input Size / Records	1886.3 KB / 10404	8.9 MB / 38526	application_1615435002078_0611	10
Duration	2 s	1.0 min	application_1615435002078_0612	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0612	10
Task Deserialization Time	26 ms	2 s	application_1615435002078_0612	10
GC Time	0.1 s	6 s	application_1615435002078_0612	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0612	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0612	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0612	10
Input Size / Records	2033.7 KB / 11232	9.7 MB / 41746	application_1615435002078_0612	10
Duration	2 s	1.3 min	application_1615435002078_0613	10
Scheduler Delay	5 ms	2 s	application_1615435002078_0613	10
Task Deserialization Time	25 ms	1 s	application_1615435002078_0613	10
GC Time	0.1 s	8 s	application_1615435002078_0613	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0613	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0613	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0613	10
Input Size / Records	2.1 MB / 11890	10.1 MB / 44856	application_1615435002078_0613	10
Duration	3 s	1.3 min	application_1615435002078_0614	10
Scheduler Delay	5 ms	0.2 s	application_1615435002078_0614	10
Task Deserialization Time	23 ms	2 s	application_1615435002078_0614	10
GC Time	0.2 s	11 s	application_1615435002078_0614	10
Result Serialization Time	0 ms	1 ms	application_1615435002078_0614	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0614	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0614	10
Input Size / Records	2.2 MB / 12624	11.0 MB / 47880	application_1615435002078_0614	10
Duration	0.1 s	5 s	application_1615435002078_0587	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0587	10
Task Deserialization Time	0.2 s	2 s	application_1615435002078_0587	10
GC Time	0 ms	2 s	application_1615435002078_0587	10
Result Serialization Time	0 ms	14 ms	application_1615435002078_0587	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0587	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0587	10
Input Size / Records	311.0 KB / 1808	1668.7 KB / 7390	application_1615435002078_0587	10
Duration	0.2 s	8 s	application_1615435002078_0588	10
Scheduler Delay	4 ms	0.2 s	application_1615435002078_0588	10
Task Deserialization Time	0.1 s	2 s	application_1615435002078_0588	10
GC Time	0 ms	2 s	application_1615435002078_0588	10
Result Serialization Time	0 ms	41 ms	application_1615435002078_0588	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0588	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0588	10
Input Size / Records	463.0 KB / 2630	2.3 MB / 10146	application_1615435002078_0588	10
Duration	0.4 s	12 s	application_1615435002078_0589	10
Scheduler Delay	4 ms	1 s	application_1615435002078_0589	10
Task Deserialization Time	84 ms	2 s	application_1615435002078_0589	10
GC Time	0 ms	2 s	application_1615435002078_0589	10
Result Serialization Time	0 ms	56 ms	application_1615435002078_0589	10
Getting Result Time	0 ms	0 ms	application_1615435002078_0589	10
Peak Execution Memory	0.0 B	0.0 B	application_1615435002078_0589	10
