tag	stage	time
E10K	quadtree	38.397999999999996
E10K	sample	9.756
E10K	shuffle	48.385999999999996
E11K	quadtree	33.987
E11K	sample	11.301000000000002
E11K	shuffle	48.879000000000005
E12K	quadtree	32.96000000000001
E12K	sample	10.114999999999995
E12K	shuffle	44.67099999999999
E13K	quadtree	32.946
E13K	sample	7.623000000000005
E13K	shuffle	39.74600000000001
E14K	quadtree	31.304000000000002
E14K	sample	7.829999999999998
E14K	shuffle	49.43099999999998
E15K	quadtree	31.008000000000003
E15K	sample	7.792999999999999
E15K	shuffle	52.349999999999994
E2K	quadtree	34.082
E2K	sample	8.176000000000002
E2K	shuffle	144.074
E3K	quadtree	32.605999999999995
E3K	sample	7.677
E3K	shuffle	95.25200000000001
E4K	quadtree	35.727999999999994
E4K	sample	7.552
E4K	shuffle	66.22300000000001
E5K	quadtree	30.166999999999994
E5K	sample	7.059000000000005
E5K	shuffle	65.613
E6K	quadtree	32.107000000000006
E6K	sample	7.881
E6K	shuffle	73.416
E7K	quadtree	36.339
E7K	sample	7.482999999999997
E7K	shuffle	59.51100000000001
E8K	quadtree	34.65599999999999
E8K	sample	10.126000000000005
E8K	shuffle	49.444
E9K	quadtree	30.644
E9K	sample	12.725000000000001
E9K	shuffle	57.872
