coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	0	1620697334362	1620697334708	346
0	mr-01	12	1620697334367	1620697337438	3071
1	mr-01	24	1620697334370	1620697334712	342
2	mr-01	36	1620697334372	1620697337401	3029
3	mr-01	48	1620697334374	1620697339329	4955
4	mr-01	60	1620697334376	1620697335293	917
5	mr-01	72	1620697334379	1620697334670	291
6	mr-01	84	1620697334381	1620697336277	1896
7	mr-01	96	1620697334383	1620697339644	5261
5	mr-01	126	1620697334670	1620697336895	2225
8	mr-01	129	1620697334708	1620697335199	491
1	mr-01	130	1620697334712	1620697336459	1747
8	mr-01	146	1620697335199	1620697340602	5403
4	mr-01	147	1620697335292	1620697337452	2160
6	mr-01	183	1620697336276	1620697337115	839
1	mr-01	194	1620697336458	1620697339643	3185
5	mr-01	217	1620697336894	1620697337065	171
5	mr-01	228	1620697337064	1620697338012	948
6	mr-01	231	1620697337115	1620697338415	1300
2	mr-01	251	1620697337401	1620697339341	1940
0	mr-01	257	1620697337438	1620697341446	4008
4	mr-01	260	1620697337451	1620697337590	139
4	mr-01	274	1620697337589	1620697339736	2147
5	mr-01	296	1620697338012	1620697340875	2863
6	mr-01	314	1620697338415	1620697340945	2530
2	mr-01	385	1620697339408	1620697339602	194
3	mr-01	393	1620697339465	1620697340207	742
1	mr-01	412	1620697339643	1620697342480	2837
2	mr-01	414	1620697339644	1620697341288	1644
4	mr-01	449	1620697340206	1620697340871	665
3	mr-01	456	1620697340237	1620697340749	512
7	mr-01	457	1620697340248	1620697340474	226
7	mr-01	472	1620697340472	1620697341331	859
8	mr-01	486	1620697340602	1620697342214	1612
3	mr-01	493	1620697340749	1620697341107	358
4	mr-01	502	1620697340870	1620697341129	259
5	mr-01	512	1620697340941	1620697341958	1017
6	mr-01	513	1620697340945	1620697343234	2289
3	mr-01	531	1620697341107	1620697341584	477
4	mr-01	536	1620697341129	1620697342294	1165
2	mr-01	549	1620697341288	1620697342213	925
7	mr-01	553	1620697341330	1620697341596	266
0	mr-01	570	1620697341446	1620697342614	1168
3	mr-01	580	1620697341584	1620697342721	1137
7	mr-01	584	1620697341595	1620697342396	801
5	mr-01	619	1620697342031	1620697342481	450
2	mr-01	634	1620697342213	1620697342574	361
8	mr-01	635	1620697342214	1620697342579	365
4	mr-01	648	1620697342294	1620697342932	638
7	mr-01	665	1620697342395	1620697342577	182
1	mr-01	677	1620697342481	1620697346600	4119
5	mr-01	684	1620697342548	1620697342867	319
2	mr-01	685	1620697342573	1620697342868	295
7	mr-01	689	1620697342579	1620697343044	465
8	mr-01	700	1620697342613	1620697344409	1796
0	mr-01	705	1620697342644	1620697343125	481
3	mr-01	713	1620697342721	1620697343447	726
2	mr-01	729	1620697342868	1620697343147	279
4	mr-01	743	1620697342997	1620697345112	2115
5	mr-01	744	1620697342998	1620697343096	98
7	mr-01	747	1620697343043	1620697343586	543
5	mr-01	755	1620697343095	1620697343918	823
0	mr-01	758	1620697343124	1620697343409	285
2	mr-01	761	1620697343147	1620697343640	493
6	mr-01	771	1620697343234	1620697343915	681
0	mr-01	782	1620697343409	1620697343565	156
3	mr-01	786	1620697343447	1620697343859	412
0	mr-01	803	1620697343586	1620697343977	391
7	mr-01	810	1620697343637	1620697345068	1431
2	mr-01	811	1620697343640	1620697344055	415
3	mr-01	837	1620697343859	1620697345298	1439
6	mr-01	844	1620697343915	1620697344886	971
