coreId	host	taskId	launchTime	finishTime	duration
0	mr-01	66201	1595617931230	1595617931342	112
1	mr-01	66213	1595617931232	1595617935659	4427
2	mr-01	66225	1595617931234	1595617931342	108
3	mr-01	66237	1595617931236	1595617931795	559
4	mr-01	66249	1595617931238	1595617932955	1717
5	mr-01	66261	1595617931239	1595617931506	267
6	mr-01	66273	1595617931241	1595617932985	1744
7	mr-01	66285	1595617931243	1595617936473	5230
8	mr-01	66297	1595617931244	1595617939779	8535
0	mr-01	66309	1595617931342	1595617932852	1510
2	mr-01	66310	1595617931342	1595617937446	6104
5	mr-01	66330	1595617931506	1595617934440	2934
3	mr-01	66344	1595617931795	1595617933303	1508
0	mr-01	66386	1595617932852	1595617933099	247
4	mr-01	66391	1595617932955	1595617935151	2196
6	mr-01	66393	1595617932985	1595617933549	564
0	mr-01	66398	1595617933098	1595617934033	935
3	mr-01	66409	1595617933303	1595617935617	2314
6	mr-01	66417	1595617933548	1595617933647	99
6	mr-01	66423	1595617933647	1595617938857	5210
0	mr-01	66438	1595617934033	1595617939591	5558
5	mr-01	66454	1595617934439	1595617934501	62
5	mr-01	66458	1595617934501	1595617938852	4351
4	mr-01	66484	1595617935151	1595617937433	2282
3	mr-01	66508	1595617935616	1595617947090	11474
1	mr-01	66509	1595617935659	1595617936483	824
7	mr-01	66537	1595617936473	1595617937342	869
1	mr-01	66539	1595617936483	1595617942062	5579
7	mr-01	66567	1595617937342	1595617937531	189
4	mr-01	66569	1595617937433	1595617940391	2958
2	mr-01	66570	1595617937445	1595617937736	291
7	mr-01	66573	1595617937531	1595617944074	6543
2	mr-01	66577	1595617937736	1595617938325	589
2	mr-01	66593	1595617938324	1595617944127	5803
5	mr-01	66618	1595617938851	1595617947151	8300
6	mr-01	66619	1595617938857	1595617945673	6816
0	mr-01	66644	1595617939591	1595617939644	53
0	mr-01	66650	1595617939644	1595617940051	407
8	mr-01	66664	1595617939779	1595617939833	54
8	mr-01	66667	1595617939833	1595617940420	587
0	mr-01	66676	1595617940051	1595617941960	1909
4	mr-01	66689	1595617940391	1595617942666	2275
8	mr-01	66692	1595617940420	1595617940474	54
8	mr-01	66695	1595617940474	1595617940545	71
8	mr-01	66700	1595617940545	1595617940598	53
8	mr-01	66704	1595617940597	1595617943200	2603
0	mr-01	66762	1595617941960	1595617942016	56
0	mr-01	66766	1595617942015	1595617942116	101
1	mr-01	66768	1595617942062	1595617942117	55
0	mr-01	66771	1595617942116	1595617942385	269
1	mr-01	66770	1595617942116	1595617942282	166
1	mr-01	66777	1595617942281	1595617943362	1081
0	mr-01	66781	1595617942385	1595617942506	121
0	mr-01	66783	1595617942506	1595617942970	464
4	mr-01	66788	1595617942665	1595617951296	8631
0	mr-01	66809	1595617942969	1595617948982	6013
8	mr-01	66817	1595617943199	1595617943897	698
1	mr-01	66821	1595617943361	1595617944063	702
8	mr-01	66837	1595617943897	1595617944085	188
1	mr-01	66849	1595617944063	1595617946046	1983
7	mr-01	66850	1595617944074	1595617944554	480
8	mr-01	66852	1595617944085	1595617944142	57
2	mr-01	66854	1595617944127	1595617944766	639
8	mr-01	66855	1595617944142	1595617949652	5510
7	mr-01	66873	1595617944554	1595617944617	63
7	mr-01	66874	1595617944617	1595617947372	2755
2	mr-01	66881	1595617944766	1595617951125	6359
6	mr-01	66922	1595617945673	1595617947917	2244
1	mr-01	66938	1595617946046	1595617946715	669
1	mr-01	66963	1595617946714	1595617950035	3321
3	mr-01	66982	1595617947090	1595617947219	129
5	mr-01	66985	1595617947151	1595617947277	126
3	mr-01	66990	1595617947218	1595617947273	55
3	mr-01	66991	1595617947272	1595617947365	93
5	mr-01	66992	1595617947277	1595617947378	101
3	mr-01	66995	1595617947364	1595617950888	3524
7	mr-01	66996	1595617947372	1595617948071	699
5	mr-01	66999	1595617947378	1595617947453	75
5	mr-01	67006	1595617947453	1595617948863	1410
6	mr-01	67033	1595617947917	1595617949801	1884
7	mr-01	67042	1595617948071	1595617952416	4345
